,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
854,cairns-04-au,australia/brisbane,-16.92304,145.76625,1.0,0.09583151744353387,0.001448416204786714,0.20610673511326902,0.10621501219325828,0.41599079809809425,0.06965733211384048,0.1047501657908368
855,cairo-11-eg,africa/cairo,30.06263,31.24967,0.0,0.1376615836349224,0.007674944425028855,0.5842428492434614,0.07623346073972902,0.13424839059226365,0.03835207323591846,0.02158669969268004
856,cairo-11-eg,africa/cairo,30.06263,31.24967,1.0,0.14736525382864885,0.004598784084154643,0.6450450990303903,0.05011647834050753,0.09803056904879293,0.03702741906954818,0.017816396672277534
857,cajamarca-06-pe,america/lima,-7.16378,-78.50027,0.0,0.08725933024349308,0.00244441971511738,0.5892286514715543,0.057181186329144644,0.14339485402264726,0.04389766635583885,0.07659386801912207
858,cajamarca-06-pe,america/lima,-7.16378,-78.50027,1.0,0.02864660508930675,0.001642491202801425,0.01526019442826505,0.7005613744258881,0.1548027122044004,0.01342263550031925,0.08566395658999675
859,calabar-22-ng,africa/lagos,4.9517,8.322,0.0,0.07209129390286428,0.0038190752107145794,0.3522650416298631,0.11645261187386352,0.25395266675414735,0.09126881991881657,0.11015049929521653
860,calabar-22-ng,africa/lagos,4.9517,8.322,1.0,0.0955341855927612,0.0009986098109303109,0.47490279612120617,0.11321846894002113,0.06789871531614776,0.18810709735437398,0.05934013155440462
861,calabozo-12-ve,america/caracas,8.92416,-67.42929,0.0,0.11092857317999,0.0031446987153079023,0.3494369580682056,0.16274628768830246,0.2110363741327698,0.0812798961511968,0.08142720838077361
862,calabozo-12-ve,america/caracas,8.92416,-67.42929,1.0,0.06446035525628495,0.0011498158398483094,0.5306147798186257,0.13386426262912293,0.12749454189491055,0.060012051436517895,0.08240421426792935
863,calais-b462-fr,europe/paris,50.9581,1.85205,0.0,0.17117277254173505,0.008031655110846043,0.4683190837056847,0.1058868879769154,0.15376691620823024,0.05353349176992451,0.039289194153041794
864,calais-b462-fr,europe/paris,50.9581,1.85205,1.0,0.14344048781038515,0.006001711517147933,0.5366985356690296,0.09734909049164202,0.1391194122310934,0.04527721060805006,0.032113551740928295
