,location,region,lat,lon,prediction,status_id,code,user_id,probability,Author,twitter_id,# mv_care_virtue,# mv_care_vice_harm,# mv_fairness_virtue,# mv_fairness_vice_cheating,# mv_loyalty_virtue,# mv_loyalty_vice_betrayal,# mv_authority_virtue,# mv_authority_vice_subversion,# mv_sanctity_virtue,# mv_sanctity_vice_degradation,# mv_liberty_virtue,# mv_liberty_vice_oppression
55,achiaman-00-gh,africa/accra,5.7,-0.33333,1.0,1.5978089189853724e+18,980429.0,1.0916374052520433e+18,0.8201971941372475,1.0916374052520433e+18,1.5978089189853724e+18,0.09743589743589744,0.041025641025641026,0.011965811965811967,0.005128205128205128,0.14188034188034188,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.07179487179487179,0.0017094017094017094,0.011965811965811967,0.005128205128205128
56,ad dammam-06-sa,asia/riyadh,26.43442,50.10326,0.0,1.5984101505480115e+18,1187707.0,7.447542281885491e+17,0.4302953576701974,7.447542281885491e+17,1.5984101505480115e+18,0.014845831747240197,0.020936429387133613,0.001903311762466692,0.0015226494099733537,0.02893033878949372,0.0,0.004567948229920061,0.0034259611724400457,0.010658545869813475,0.0011419870574800152,0.0034259611724400457,0.0030452988199467074
57,ad dammam-06-sa,asia/riyadh,26.43442,50.10326,1.0,1.5984849369337664e+18,1187707.0,9.025251935632172e+17,0.8326392853793292,9.025251935632172e+17,1.5984849369337664e+18,0.010384850335980453,0.021380574221136223,0.0012217470983506415,0.0006108735491753207,0.022602321319486866,0.0,0.0018326206475259622,0.0006108735491753207,0.014660965180207697,0.0,0.0018326206475259622,0.0006108735491753207
58,adana-81-tr,europe/istanbul,37.00167,35.32889,0.0,1.5983718973894377e+18,1377207.0,8.238874193703762e+17,0.3563156545341605,8.238874193703762e+17,1.5983718973894377e+18,0.0430622009569378,0.0,0.009569377990430622,0.009569377990430622,0.07655502392344497,0.0,0.009569377990430622,0.004784688995215311,0.023923444976076555,0.0,0.0,0.004784688995215311
59,adana-81-tr,europe/istanbul,37.00167,35.32889,1.0,1.597978581714922e+18,1377207.0,8.923672309886319e+17,0.8030541799796193,8.923672309886319e+17,1.597978581714922e+18,0.01818181818181818,0.00909090909090909,0.0,0.0,0.13636363636363635,0.0,0.00909090909090909,0.0,0.00909090909090909,0.0,0.0,0.0
60,adapazari-54-tr,europe/istanbul,40.78056,30.40333,0.0,1.5983689242492244e+18,470859.0,9.168687396938938e+17,0.38151006865131865,9.168687396938938e+17,1.5983689242492244e+18,0.0019047619047619048,0.005714285714285714,0.0,0.0038095238095238095,0.02666666666666667,0.0,0.005714285714285714,0.009523809523809525,0.009523809523809525,0.0019047619047619048,0.007619047619047619,0.0019047619047619048
61,adapazari-54-tr,europe/istanbul,40.78056,30.40333,1.0,1.5983022833282332e+18,470859.0,1.2264894442670917e+18,0.8166930960105409,1.2264894442670917e+18,1.5983022833282332e+18,0.005,0.02,0.0,0.0,0.08,0.0,0.04,0.0,0.055,0.005,0.005,0.005
62,addis ababa-44-et,africa/addis_ababa,9.02497,38.74689,0.0,1.5983457006119347e+18,2757729.0,3.624756498116409e+17,0.2425556729670863,3.624756498116409e+17,1.5983457006119347e+18,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,addis ababa-44-et,africa/addis_ababa,9.02497,38.74689,1.0,1.599190733191252e+18,2757729.0,1.1894207129734758e+18,0.8633969369357126,1.1894207129734758e+18,1.599190733191252e+18,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,adelaide-05-au,australia/adelaide,-34.92866,138.59863,0.0,1.5986980076177618e+18,1173570.0,8.85054164666119e+17,0.3892743418623885,8.85054164666119e+17,1.5986980076177618e+18,0.06200873362445415,0.08471615720524017,0.03318777292576419,0.008733624454148471,0.18427947598253275,0.0008733624454148472,0.050655021834061134,0.02445414847161572,0.048034934497816595,0.039301310043668124,0.017467248908296942,0.032314410480349345
65,adelaide-05-au,australia/adelaide,-34.92866,138.59863,1.0,1.5989236063568745e+18,1173570.0,1.3145922851643786e+18,0.8305351885361132,1.3145922851643786e+18,1.5989236063568745e+18,0.034482758620689655,0.09698275862068965,0.05387931034482758,0.009698275862068966,0.11853448275862069,0.0,0.017241379310344827,0.004310344827586207,0.007543103448275862,0.011853448275862068,0.017241379310344827,0.015086206896551725
66,adiyaman-02-tr,europe/istanbul,37.76441,38.27629,0.0,1.5986541445797489e+18,338741.0,7.112824552917219e+17,0.39622347696296356,7.112824552917219e+17,1.5986541445797489e+18,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,adiyaman-02-tr,europe/istanbul,37.76441,38.27629,1.0,1.5987671222888143e+18,338741.0,1.294862160178809e+18,0.7847030172847566,1.294862160178809e+18,1.5987671222888143e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,afyonkarahisar-03-tr,europe/istanbul,38.75667,30.54333,0.0,1.5980293307117788e+18,279202.0,1.1141604670066213e+18,0.48287978350722716,1.1141604670066213e+18,1.5980293307117788e+18,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,afyonkarahisar-03-tr,europe/istanbul,38.75667,30.54333,1.0,1.5985361973113057e+18,279202.0,1.0242431924899158e+18,0.8198572687161425,1.0242431924899158e+18,1.5985361973113057e+18,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,agadir-55001-ma,africa/casablanca,30.42018,-9.59815,0.0,1.598892298960626e+18,698310.0,8.888235578418196e+17,0.36741497044599813,8.888235578418196e+17,1.598892298960626e+18,0.054901960784313725,0.0196078431372549,0.00784313725490196,0.0,0.054901960784313725,0.0,0.03137254901960784,0.027450980392156862,0.023529411764705882,0.0,0.00784313725490196,0.00784313725490196
71,agadir-55001-ma,africa/casablanca,30.42018,-9.59815,1.0,1.5989313362016271e+18,698310.0,6.783199146704054e+17,0.8250563586989702,6.783199146704054e+17,1.5989313362016271e+18,0.07142857142857142,0.04285714285714286,0.014285714285714285,0.0,0.11428571428571428,0.0,0.05714285714285714,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0
72,agartala-26-in,asia/kolkata,23.83605,91.27939,0.0,1.5968227502217196e+18,244552.0,6.94947332532713e+17,0.2031458955360434,6.94947332532713e+17,1.5968227502217196e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,agra-36-in,asia/kolkata,27.18333,78.01667,0.0,1.5984775853940984e+18,2506267.0,1.1711873664168072e+18,0.5416776705469117,1.1711873664168072e+18,1.5984775853940984e+18,0.0,0.024390243902439025,0.0,0.0,0.2926829268292683,0.0,0.12195121951219512,0.024390243902439025,0.21951219512195122,0.0,0.024390243902439025,0.0
74,agra-36-in,asia/kolkata,27.18333,78.01667,1.0,1.5977624641867436e+18,2506267.0,9.658971075146348e+17,0.8537842385840063,9.658971075146348e+17,1.5977624641867436e+18,0.07692307692307693,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,agri-04-tr,europe/istanbul,39.71944,43.05139,0.0,1.5992014801091686e+18,110791.0,9.822481884983299e+17,0.43154385227130015,9.822481884983299e+17,1.5992014801091686e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,agri-04-tr,europe/istanbul,39.71944,43.05139,1.0,1.599047922248581e+18,110791.0,9.38947603844137e+17,0.8938596553120899,9.38947603844137e+17,1.599047922248581e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,agrigento-15ag-it,europe/rome,37.32084,13.58876,0.0,1.598471052166418e+18,253352.0,5.394502941433689e+17,0.31430034337687457,5.394502941433689e+17,1.598471052166418e+18,0.0,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
78,agrigento-15ag-it,europe/rome,37.32084,13.58876,1.0,1.5996495740747837e+18,253352.0,1.3762594264563446e+18,0.7997567954004012,1.3762594264563446e+18,1.5996495740747837e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,aguascalientes-01-mx,america/mexico_city,21.88333,-102.3,0.0,1.5978917038896717e+18,702525.0,5.327655111782318e+17,0.3848094741220929,5.327655111782318e+17,1.5978917038896717e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0
