,location,region,lat,lon,prediction,count,percentage
453,banqiao-03tpq-tw,asia/taipei,25.01427,121.46719,0.0,26,68.42
454,banqiao-03tpq-tw,asia/taipei,25.01427,121.46719,1.0,12,31.58
455,banska bystrica-01-sk,europe/bratislava,48.73946,19.15349,0.0,135,68.18
456,banska bystrica-01-sk,europe/bratislava,48.73946,19.15349,1.0,63,31.82
457,banting-00-my,asia/kuala_lumpur,2.81667,101.5,0.0,366,55.62
458,banting-00-my,asia/kuala_lumpur,2.81667,101.5,1.0,292,44.38
459,banyuwangi-08-id,asia/jakarta,-8.2325,114.35755,0.0,35,62.5
460,banyuwangi-08-id,asia/jakarta,-8.2325,114.35755,1.0,21,37.5
461,barabai-12-id,asia/makassar,-2.58333,115.38333,0.0,59,59.6
462,barabai-12-id,asia/makassar,-2.58333,115.38333,1.0,40,40.4
463,baraki-55-dz,africa/algiers,36.66655,3.09606,0.0,142,67.62
464,baraki-55-dz,africa/algiers,36.66655,3.09606,1.0,68,32.38
465,baramati-16-in,asia/kolkata,18.15,74.58333,1.0,4,100.0
466,baran-24-in,asia/kolkata,25.1,76.51667,0.0,2,100.0
467,baranavichy-01-by,europe/minsk,53.1327,26.0139,0.0,2,100.0
468,barbacena-15-br,america/sao_paulo,-21.22583,-43.77361,0.0,36,72.0
469,barbacena-15-br,america/sao_paulo,-21.22583,-43.77361,1.0,14,28.0
470,barcelona-02-ve,america/caracas,10.13333,-64.7,0.0,166,58.45
471,barcelona-02-ve,america/caracas,10.13333,-64.7,1.0,118,41.55
472,barcelona-56b-es,europe/madrid,41.38879,2.15899,0.0,10769,52.01
473,barcelona-56b-es,europe/madrid,41.38879,2.15899,1.0,9936,47.99
474,barddhaman-28-in,asia/kolkata,23.24056,87.86944,0.0,9,56.25
475,barddhaman-28-in,asia/kolkata,23.24056,87.86944,1.0,7,43.75
476,bareilly-36-in,asia/kolkata,28.34702,79.42193,0.0,11,52.38
477,bareilly-36-in,asia/kolkata,28.34702,79.42193,1.0,10,47.62
478,bari-13ba-it,europe/rome,41.11773,16.85118,0.0,98,79.67
479,bari-13ba-it,europe/rome,41.11773,16.85118,1.0,25,20.33
480,barisal-85-bd,asia/dhaka,22.70497,90.37013,0.0,43,87.76
481,barisal-85-bd,asia/dhaka,22.70497,90.37013,1.0,6,12.24
482,barnala-23-in,asia/kolkata,30.37205,75.54537,0.0,3,60.0
483,barnala-23-in,asia/kolkata,30.37205,75.54537,1.0,2,40.0
484,barnaul-04-ru,asia/omsk,53.36056,83.76361,0.0,1,50.0
485,barnaul-04-ru,asia/omsk,53.36056,83.76361,1.0,1,50.0
486,barquisimeto-13-ve,america/caracas,10.07389,-69.32278,0.0,140,66.04
487,barquisimeto-13-ve,america/caracas,10.07389,-69.32278,1.0,72,33.96
488,barrancabermeja-26-co,america/bogota,7.06528,-73.85472,0.0,10,83.33
489,barrancabermeja-26-co,america/bogota,7.06528,-73.85472,1.0,2,16.67
490,barranquilla-04-co,america/bogota,10.96389,-74.79639,0.0,212,78.23
491,barranquilla-04-co,america/bogota,10.96389,-74.79639,1.0,59,21.77
492,barreiras-05-br,america/bahia,-12.15278,-44.99,0.0,6,66.67
493,barreiras-05-br,america/bahia,-12.15278,-44.99,1.0,3,33.33
494,barretos-27-br,america/sao_paulo,-20.55722,-48.56778,0.0,15,88.24
495,barretos-27-br,america/sao_paulo,-20.55722,-48.56778,1.0,2,11.76
496,barrie-08-ca,america/toronto,44.40011,-79.66634,0.0,125,75.76
497,barrie-08-ca,america/toronto,44.40011,-79.66634,1.0,40,24.24
498,baruni-34-in,asia/kolkata,25.47446,85.96681,1.0,8,100.0
499,basel-bs-ch,europe/zurich,47.5584,7.57327,0.0,723,50.74
500,basel-bs-ch,europe/zurich,47.5584,7.57327,1.0,702,49.26
501,basingstoke-engf2-gb,europe/london,51.26249,-1.08708,0.0,170,46.7
502,basingstoke-engf2-gb,europe/london,51.26249,-1.08708,1.0,194,53.3
503,basti-36-in,asia/kolkata,26.79446,82.73285,1.0,1,100.0
504,bat'umi-04-ge,asia/tbilisi,41.64159,41.63593,0.0,23,82.14
